"","Year","Collocate","MI Score"
"1",1734,"there",6.11
"2",1740,"i",3.43
"3",1741,"i",3.43
"4",1746,"theſe",4.2
"5",1747,"theſe",4.19
"6",1748,"theſe",4.35
"7",1748,"have",3.22
"8",1749,"theſe",4.51
"9",1749,"have",3.21
"10",1750,"theſe",4.5
"11",1750,"have",3.07
"12",1751,"theſe",4.5
"13",1751,"have",3.07
"14",1752,"theſe",4.56
"15",1753,"theſe",4.56
"16",1754,"theſe",4.63
"17",1755,"theſe",4.61
"18",1756,"theſe",4.19
"19",1757,"theſe",4.19
"20",1769,"theſe",4.18
"21",1770,"theſe",4.2
"22",1771,"theſe",4.24
"23",1772,"theſe",4.19
"24",1773,"theſe",4.28
"25",1774,"theſe",4.33
"26",1775,"theſe",4.36
"27",1776,"theſe",4.43
"28",1785,"these",6.28
"29",1786,"these",5.57
"30",1787,"these",5.16
"31",1788,"these",5.11
"32",1789,"these",4.83
"33",1790,"these",4.58
"34",1790,"some",3.77
"35",1791,"these",4.35
"36",1791,"some",3.47
"37",1792,"these",4.17
"38",1792,"some",3.47
"39",1793,"these",3.84
"40",1793,"some",3.71
"41",1794,"these",3.79
"42",1794,"some",3.56
"43",1795,"these",3.64
"44",1795,"some",3.42
"45",1796,"prove",6.08
"46",1796,"new",4.52
"47",1796,"these",3.58
"48",1796,"some",3.48
"49",1797,"prove",6.06
"50",1797,"stated",5.98
"51",1797,"new",4.42
"52",1797,"many",3.83
"53",1797,"these",3.71
"54",1797,"some",3.47
"55",1798,"prove",6.07
"56",1798,"stated",5.87
"57",1798,"many",4.2
"58",1798,"new",4.19
"59",1798,"these",3.51
"60",1798,"some",3.26
"61",1798,"have",3.03
"62",1799,"prove",5.66
"63",1799,"stated",5.64
"64",1799,"new",4.51
"65",1799,"many",3.92
"66",1799,"these",3.51
"67",1799,"some",3.14
"68",1800,"prove",5.56
"69",1800,"stated",5.53
"70",1800,"new",4.22
"71",1800,"many",3.9
"72",1800,"these",3.62
"73",1801,"stated",5.36
"74",1801,"prove",5.33
"75",1801,"new",4.27
"76",1801,"many",3.77
"77",1801,"general",3.66
"78",1801,"these",3.56
"79",1801,"number",3.54
"80",1802,"stated",5.36
"81",1802,"prove",5.3
"82",1802,"new",4.32
"83",1802,"many",3.86
"84",1802,"general",3.65
"85",1802,"appear",3.6
"86",1802,"these",3.56
"87",1802,"number",3.44
"88",1803,"stated",5.46
"89",1803,"prove",5.42
"90",1803,"new",4.26
"91",1803,"many",3.92
"92",1803,"appear",3.81
"93",1803,"general",3.74
"94",1803,"these",3.7
"95",1803,"number",3.46
"96",1804,"prove",5.47
"97",1804,"stated",5.3
"98",1804,"respecting",5.17
"99",1804,"chemical",4.16
"100",1804,"appear",4.07
"101",1804,"new",4.04
"102",1804,"preceding",4.01
"103",1804,"many",4
"104",1804,"general",3.99
"105",1804,"these",3.73
"106",1804,"number",3.25
"107",1805,"stated",5.64
"108",1805,"prove",5.26
"109",1805,"ascertained",4.6
"110",1805,"preceding",4.27
"111",1805,"chemical",4.09
"112",1805,"new",3.97
"113",1805,"these",3.73
"114",1805,"many",3.72
"115",1805,"general",3.72
"116",1805,"appear",3.69
"117",1805,"number",3.25
"118",1806,"stated",5.56
"119",1806,"ascertained",4.97
"120",1806,"new",4.14
"121",1806,"chemical",4.1
"122",1806,"these",3.78
"123",1806,"general",3.69
"124",1806,"many",3.5
"125",1806,"number",3.3
"126",1807,"stated",5.31
"127",1807,"ascertained",4.96
"128",1807,"chemical",4.18
"129",1807,"new",4.17
"130",1807,"these",3.7
"131",1807,"general",3.68
"132",1807,"many",3.66
"133",1807,"number",3.3
"134",1808,"stated",5.71
"135",1808,"ascertained",5.07
"136",1808,"new",4.3
"137",1808,"these",3.86
"138",1808,"general",3.46
"139",1809,"stated",5.85
"140",1809,"respecting",5.55
"141",1809,"few",4.72
"142",1809,"new",3.99
"143",1809,"these",3.95
"144",1809,"many",3.81
"145",1810,"stated",6.02
"146",1810,"many",4.1
"147",1810,"new",4.07
"148",1810,"these",4.02
"149",1811,"stated",6.17
"150",1811,"many",4.58
"151",1811,"new",4.08
"152",1811,"these",4.04
"153",1811,"some",3.12
"154",1812,"stated",6.25
"155",1812,"many",4.66
"156",1812,"these",4.1
"157",1812,"new",4.09
"158",1812,"some",3.29
"159",1813,"stated",6.13
"160",1813,"many",4.63
"161",1813,"new",4.11
"162",1813,"these",3.99
"163",1813,"some",3.2
"164",1814,"stated",6.07
"165",1814,"new",4.42
"166",1814,"many",4.31
"167",1814,"these",3.98
"168",1814,"some",3.16
"169",1815,"propriety",9
"170",1815,"certainty",7.79
"171",1815,"curious",6.57
"172",1815,"respecting",6.15
"173",1815,"stated",5.85
"174",1815,"many",4.72
"175",1815,"new",4.47
"176",1815,"these",3.97
"177",1815,"some",3.64
"178",1816,"propriety",9.21
"179",1816,"certainty",7.94
"180",1816,"curious",6.68
"181",1816,"respecting",6.19
"182",1816,"many",4.91
"183",1816,"new",4.58
"184",1816,"following",4.22
"185",1816,"these",3.77
"186",1816,"some",3.66
"187",1817,"propriety",9.23
"188",1817,"certainty",7.86
"189",1817,"curious",6.83
"190",1817,"respecting",6.34
"191",1817,"new",4.89
"192",1817,"many",4.78
"193",1817,"following",4.18
"194",1817,"these",4.03
"195",1817,"some",3.67
"196",1818,"propriety",9.17
"197",1818,"certainty",7.81
"198",1818,"curious",6.72
"199",1818,"respecting",6.34
"200",1818,"new",4.77
"201",1818,"many",4.76
"202",1818,"following",4.18
